Band,Count,Concerts
Ashen,4,"         Date                                              Bands                City              Venue
0  14/05/2023                     While She Sleeps;Resolve;Ashen                Lyon    Ninkasi Gerland
1  20/06/2023  Lorna Shore;Motionless In White;The Amity Affl...                Lyon    Le Transbordeur
2  10/11/2023                             Novelists;Ashen;Mirage                Lyon        MJC O Totem
3  06/07/2024  Bakü;Animalize;Ashen;Hanabie.;Smash Hit Combo;...  Colombier-Saugnieu  Plane'R Fest 2024"
Benighted,3,"         Date                                              Bands                       City                Venue
0  06/08/2022  Deathawaits;Benighted;Nervosa;Unearth;Bombers;...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022
1  03/12/2022           Benighted;Gorod;Deathawaits;Ashed Winter              Saint-Etienne               Le Fil
2  30/09/2024                                Benighted;Cognitive                     Québec               L'Anti"
Eluveitie,3,"         Date                                              Bands                       City                Venue
0  02/11/2017                                Eluveitie;Amaranthe                      Paris   Le Cabaret Sauvage
1  04/08/2019  Lodz;Insanity Alert;Nostromo;Ihsahn;Sick Of It...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019
2  06/07/2024  Bakü;Animalize;Ashen;Hanabie.;Smash Hit Combo;...         Colombier-Saugnieu    Plane'R Fest 2024"
Novelists,2,"         Date                                        Bands        City        Venue
0  10/11/2023                       Novelists;Ashen;Mirage        Lyon  MJC O Totem
1  25/11/2023  Novelists;Stömb;The Dali Thundering Concept  Guyancourt  La Batterie"
The Dali Thundering Concept,2,"         Date                                              Bands        City          Venue
0  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...     Clisson  Hellfest 2023
1  25/11/2023        Novelists;Stömb;The Dali Thundering Concept  Guyancourt    La Batterie"
The Callous Daoboys,2,"         Date                                      Bands   City       Venue
0  20/01/2024  Tesseract;Unprocessed;The Callous Daoboys   Lyon  La Rayonne
1  23/01/2024  Tesseract;Unprocessed;The Callous Daoboys  Paris    Bataclan"
Buy Jupiter,2,"         Date                                              Bands                       City                Venue
0  05/08/2023  Buy Jupiter;Beyond The Styx;The Real McKenzies...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023
1  01/09/2023                    Dukkha;Buy Jupiter;Ashed Winter                       Lyon           Rock N Eat"
Celeste,2,"         Date                                              Bands                City              Venue
0  23/02/2024                                       Celeste;Bakü                Lyon        Marché Gare
1  06/07/2024  Bakü;Animalize;Ashen;Hanabie.;Smash Hit Combo;...  Colombier-Saugnieu  Plane'R Fest 2024"
Testament,2,"         Date                                              Bands                       City                Venue
0  04/08/2019  Lodz;Insanity Alert;Nostromo;Ihsahn;Sick Of It...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019
1  07/08/2022  Dukkha;Heart Attack;Moscow Death Brigade;Hangm...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Tesseract,2,"         Date                                      Bands   City       Venue
0  20/01/2024  Tesseract;Unprocessed;The Callous Daoboys   Lyon  La Rayonne
1  23/01/2024  Tesseract;Unprocessed;The Callous Daoboys  Paris    Bataclan"
Eyehategod,2,"         Date                                              Bands                       City                Venue
0  03/08/2019  Yoda Rising;Hate;Monkey3;Eyehategod;Soilwork;D...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019
1  06/08/2023  Drive North;Eight Sins;Leng T'che;Church Of Mi...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Kalandra,2,"         Date                                              Bands     City          Venue
0  12/02/2023                         Leprous;Monuments;Kalandra    Paris   Salle Pleyel
1  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...  Clisson  Hellfest 2023"
Dream Theater,2,"         Date          Bands      City               Venue
0  06/03/2016  Dream Theater     Paris  Palais des Congrès
1  12/03/2025  Dream Theater  Montréal      Place Des Arts"
