Date,Bands,City,Venue
06/03/2016,Dream Theater,Paris,Palais des Congrès
29/03/2017,Haken,Paris,La Maroquinerie
02/11/2017,Eluveitie;Amaranthe,Paris,Le Cabaret Sauvage
05/05/2018,The Ocean;The Prestige,Rambouillet,L'Usine A Chapeaux
02/08/2019,Pastors Of Muppets;Mudweiser;In Other Climes;Gutalax,Saint-Maurice-De-Gourdans,Sylak Open Air 2019
03/08/2019,Yoda Rising;Hate;Monkey3;Eyehategod;Soilwork;Danko Jones;Madball;Black Flag;Hypocrisy;Apocalyptica,Saint-Maurice-De-Gourdans,Sylak Open Air 2019
04/08/2019,Lodz;Insanity Alert;Nostromo;Ihsahn;Sick Of It All;Eluveitie;Testament;Meshuggah,Saint-Maurice-De-Gourdans,Sylak Open Air 2019
05/08/2022,Dead Kiwis;Ultra Moule;Sublime C.D.;Born From Pain,Saint-Maurice-De-Gourdans,Sylak Open Air 2022
06/08/2022,Deathawaits;Benighted;Nervosa;Unearth;Bombers;1000Mods;Napalm Death;Jinjer;Carcass;Alestorm,Saint-Maurice-De-Gourdans,Sylak Open Air 2022
07/08/2022,Dukkha;Heart Attack;Moscow Death Brigade;Hangman's Chair;Misery Index;Mad Sin;Suffocation;Faun;Exodus;Korpiklaani;Testament,Saint-Maurice-De-Gourdans,Sylak Open Air 2022
02/11/2022,Porcupine Tree,Paris,Le Zénith
02/12/2022,Rivers Of Nihil;Allegaeon;Fallujah;Harbinger;Inferi,Paris,Backstage By The Mill
03/12/2022,Benighted;Gorod;Deathawaits;Ashed Winter,Saint-Etienne,Le Fil
08/02/2023,Trivium;Heaven Shall Burn;Malevolence;Obituary,Lyon,Le Transbordeur
12/02/2023,Leprous;Monuments;Kalandra,Paris,Salle Pleyel
28/02/2023,Gojira;Alien Weaponry;Employed To Serve,Lyon,Halle Tony Garnier
14/05/2023,While She Sleeps;Resolve;Ashen,Lyon,Ninkasi Gerland
21/05/2023,Ne Obliviscaris;Persefone;The Omnific,Paris,Le Petit Bain
27/05/2023,Polyphia;Johan Lenox,Paris,Bataclan
15/06/2023,Hypno5e;Coheed And Cambria;I Prevail;In Flames;Generation Sex;Hollywood Vampires;Architects;Kiss;Behemoth;Parkway Drive,Clisson,Hellfest 2023
16/06/2023,Vended;P-Troll;Escape The Fate;Helms Alee;Unearth;Motionless In White;Alter Bridge;Papa Roach;Gorgoroth;Bloodbath;Mötley Crüe;Sum 41,Clisson,Hellfest 2023
17/06/2023,Hierophant;The Dali Thundering Concept;Kalandra;Ten56.;Svalbard;Loathe;Saor;Gorod;Arch Enemy;Porcupine Tree;Powerwolf;Iron Maiden;Within Temptation;Carpenter Brut;Meshuggah,Clisson,Hellfest 2023
18/06/2023,Slipknot;Pantera;Tenacious D;Amon Amarth;Incubus;Electric Callboy;Hatebreed;The Old Dead Tree,Clisson,Hellfest 2023
20/06/2023,Lorna Shore;Motionless In White;The Amity Affliction;Ashen,Lyon,Le Transbordeur
04/08/2023,Primal Rage;Electric Jaguar Baby;Prismeria;Alea Jacta Est;Blockheads;Death Before Dishonor,Saint-Maurice-De-Gourdans,Sylak Open Air 2023
05/08/2023,Buy Jupiter;Beyond The Styx;The Real McKenzies;Nashville Pussy;Walls Of Jericho;Moonspell;Solstafir;Sepultura;Kreator,Saint-Maurice-De-Gourdans,Sylak Open Air 2023
06/08/2023,Drive North;Eight Sins;Leng T'che;Church Of Misery;Demented Are Go;The Hillbilly Moon Explosion;Eyehategod;Soulfly;Deicide;Heilung,Saint-Maurice-De-Gourdans,Sylak Open Air 2023
01/09/2023,Dukkha;Buy Jupiter;Ashed Winter,Lyon,Rock N Eat
22/10/2023,Cult Of Luna;GGGOLDDD;Slow Crush,Saint-Etienne,Le Fil
10/11/2023,Novelists;Ashen;Mirage,Lyon,MJC O Totem
25/11/2023,Novelists;Stömb;The Dali Thundering Concept,Guyancourt,La Batterie
20/01/2024,Tesseract;Unprocessed;The Callous Daoboys,Lyon,La Rayonne
23/01/2024,Tesseract;Unprocessed;The Callous Daoboys,Paris,Bataclan
18/02/2024,Persefone;Hypno5e;LAMPR3A;Stellar Circuits,Lyon,Rock N Eat
23/02/2024,Celeste;Bakü,Lyon,Marché Gare
05/03/2024,Leprous;Fight The Fight,Lyon,La Rayonne
14/03/2024,Polaris;Silent Planet;Thornhill;Paledusk,Lyon,La Rayonne
20/04/2024,Bell Witch;Thantifaxath,Paris,Le Petit Bain
05/07/2024,Drive North;Blackrain;Beast In Black;Point Mort;Tribute To Thrash;Igorrr;Black Bomb A;Hatebreed;Mars Red Sky,Colombier-Saugnieu,Plane'R Fest 2024
06/07/2024,Bakü;Animalize;Ashen;Hanabie.;Smash Hit Combo;Ko Ko Mo;Villagers Of Ioannina City;Eluveitie;Celeste;Rise Of The Northstar;Horskh,Colombier-Saugnieu,Plane'R Fest 2024
12/07/2024,Los Disidentes Del Sucio Motel;Left Shore;Nick Heywood,Lyon,Rock N Eat
19/07/2024,Sat One;Mobius;Talvienkeli,Lyon,Rock N Eat
08/09/2024,The Anchoret;Voidchaser;La Corriveau;The Universe Effects,Lévis,Vieux Bureau De Poste
30/09/2024,Benighted;Cognitive,Québec,L'Anti
12/03/2025,Dream Theater,Montréal,Place Des Arts
22/03/2025,Alcest;MONO;Kaelan Mikla,Montréal,Théâtre Beanfield
